,ACC,F1,PREC,REC,walltime,mean_time
siebert,73.01,70.18,69.36,73.01,358885.2308113575,29907.102567613125
CNN,65.12,62.78,61.75,65.12,18304.494879722595,1525.3745733102162
few_shot_gpt,35.05,31.91,36.89,35.05,6871.455743312836,572.6213119427363
nlptown,71.06,68.32,68.02,71.06,21319.154978752136,1776.5962482293446
bert,68.3,64.58,64.3,68.3,43788.33863925934,3649.028219938278
RF,59.41,46.82,53.99,59.41,5079.660954475403,423.3050795396169
distilbert,64.52,57.33,55.0,64.52,19519.669166088104,1626.6390971740086
LSTM,52.09,51.03,50.57,52.09,180685.4983010292,90342.7491505146
ComplementNB,61.42,59.44,59.03,61.42,60.21871781349182,5.018226484457652
Decision Tree,54.16,52.66,51.61,54.16,1364.7141788005829,113.72618156671524
setfit,38.48,37.72,39.65,38.48,3540.1924080848694,295.01603400707245
LR,64.69,63.02,62.14,64.69,7841.706496715546,653.4755413929621
MultinomialNB,62.81,57.04,57.5,62.81,59.53350234031677,4.961125195026398
SVM,64.62,62.42,61.68,64.62,438370.22741127014,54796.27842640877
