rating,review,date
1,"Nothing is in stock, whats the use?. Out of stock products should not be listed!",2022-01-09
5,Tells stock levels before I trek the mile to get over to the store - use app because it's more convenient to shop from a chair on my phone 😁,2021-02-28
1,Disastrous,2019-12-05
1,Stop charging for a carry bag as u hv ur on company logo(talking abt instore)...this is consider as unfair practice under section 2 (1) (r) of consumer protection act 1986...its not about paying you 20 rupees but its about our hakk,2022-07-21
1,Needs a lot of improvement. They have a website too but the website cart is not in sync with the app cart. Imagine! Also currently I'm unable to place an order but the error messages are not helpful! It just says try later.,2021-07-10
1,"Can not log in after upgrade! Revert all changes!!! This is annoying, irritating and most of all dysfunctional!",2021-01-10
5,Great app with many cool features,2023-09-19
5,Easy to search clear pricing shopping list feature,2019-12-28
5,We use it to plan out future projects. If you are in the store you can look up locations or quantities.,2021-11-14
5,So much easier than the website. I can actually find things now,2022-04-30
5,Lett å bruke.,2022-10-08
5,"Easy to use, know when an item is in stock with outbgoing to the big box store itself",2022-03-09
1,"Why the heck send promotions when we can buy anything even through ""click and collect"" ..just don't advertise something that doesn't exist or work ..I can understand supply chain problems, but I don't understand playing games with your clients.",2021-01-09
5,Excellent site,2022-05-27
3,"I wish there was a way to filter things by size! The application is for people who cannot see the item in store, and it would be a lot easier to browse if you could filter height, width and depth maximum and minimums!",2020-06-21
4,"I delighted with purchase, just unfortunately collection is not available",2021-04-21
5,I installed this application because I want to renovate my room and I thought it would be the best option. And it really is! ❤️And the 3D option is so cool😃,2024-02-24
2,"Keeps glitching, very annoying",2020-11-17
5,Love Ikea!,2021-01-16
5,Awesome products intuitive functionality,2023-05-17
5,Love shopping and adding things to my favourites,2021-07-30
5,Fantastic,2020-12-05
1,Keep on crashing as soon open,2020-10-01
5,"Easy to find just what you want, either before you go to store or making an online order. 👍",2020-04-02
5,Updated grom 1 to 5 stars because the family card feature now works after the latest update.,2022-02-02
1,"Pathetic App abd website interface, and pathetic service, after wait for 30 days for product delivery, still product not delivered not time!!!! Chat box does not have option to send chat!!! Customer care never answers!!!!",2021-07-01
5,Each and every products are superb quality. But delivery options is not comfortable,2023-01-17
1,Can't even login through app without chromium... App tries to push Chrome app on you. Won't support Vivaldi or Firefox. Can't log in without 3:ed party apps with privacy issues. Shame on you ikea. It's 2022.,2022-10-28
1,Poor app seeing as it's late to the app party. No record of current or past orders. Unable to update phone number.,2020-08-23
4,Easy to use,2022-04-08
5,Brilliant love it,2020-02-07
1,Don't like your new app. It isn't user friendly like the other one. Please turn other one back on. It was so much better and easier to navigate with.. guess won't be buying ikea no more now,2020-12-16
5,Good,2021-04-07
5,Good,2020-10-01
5,"Love the furniture, but the instructions are not real clear. Takes longer than it should.",2022-05-09
5,Super!,2023-04-20
5,IKEA ...must visit place. I always love to visit it.,2020-08-14
2,"Search function is almost useless, search categories are often not relevant to the given product.",2021-07-10
1,"Haven't been able to even open the app for a good three months now, even after uninstalling and reinstalling",2022-07-10
1,Very funny app i add 59 item when ckeakout delivery charges is 199,2021-08-12
5,Easy to navigate,2021-02-10
4,Add an option to see your list with self serve locations in your selected store.,2020-10-28
2,"why your f°°king engendering depermen can't spend 5 min and add ""Per-app language preferences"" support????",2023-11-12
5,👍,2022-04-02
5,It is super app for furniture,2021-07-28
5,The IKEA app for me is that it is very useful and it could get many different ideas for my (¦ꒉ[▓▓] bedroom,2024-01-06
5,Excellent,2020-04-12
1,"One of the worst services I have ever received, to be honest I didn't even receive a service, I ordered a lot of things and I even paid the amount. But my products have still not been delivered, it should have been delivered long back. The customer service contact number is invalid, Totally disappointed. Is there any way for refunding?",2021-07-03
5,"Clear and inspiring, simple homely photos just perfect when you looking for ideas.",2020-02-26
5,Best price meets best quality,2021-09-15
2,Latest update does not allow me to see my orders. All the old bugs have resurfaced after this latest update and the app is right back to being a pain to use.,2021-04-23
5,This is very useful and efficient for me. Thanks IKEA.,2021-11-01
2,"I love ikea products... but please arrange home delivery for malad west mumbai, it would be a great Your store is in Mumbai then why can't you make delivery here ?",2022-10-25
5,Very nice products,2022-02-25
1,"The app is useless considering it calls itself ""shoppable"". Category beds & mattresses contained everything else as well (cushions, drawers, storage items etc). Tried filtering for beds specifically, and my size options in the filter didn't even include King, Queen etc just very small dimensions like 30 x 25 cm.",2022-06-20
5,Great app. Very easy to do IKEA shopping during lockdown. Fantastic.,2020-11-08
1,"Placed an order in April and haven't received it yet. It's mid June. I understand that there was a lockdown, but now they are claiming that the order got cancelled and cannot be placed again cause the delivery slots are full! I don't understand full forever? I have already paid the full amount two months back, shouldn't I get some priority over people who place order now? When I use the chat feature they just disconnect without giving me any updates. Calling or email isn't helpful either.",2021-06-11
5,Brilliant,2019-12-04
2,"New update doesn't allow to log back in, cannot update wish list or order via the app now.",2021-04-20
1,Poor website management. It will say available and once you try ordering it will say delivery not available.,2021-06-26
5,Super clear. Easy to use with shopping list.,2022-10-16
5,"Really good app , easy UI , does not crash",2024-01-03
5,Easy to navigate but one flaw is the back button from an item it makes you start over.,2022-11-23
1,Very poor quality materials,2023-03-28
5,My fave app. I open at least 3 times a week!,2022-02-08
5,"Great shopping app, easy to use",2022-10-22
1,Невозможно связаться со службой поддежки после поломки мебели. Ждкшь ответа оператора один час и заонок сбрасывается.,2021-09-06
4,Would be nice to have English for users in sweden.,2022-01-21
5,Great,2020-08-25
1,Login to the app kicks me back to the play store where I have to open it again. Very Annoying! Why can't it just open.,2021-03-11
1,"The app is awful, I completed supposedly two transactions where you took my details and issued me a delivery date and order numbers. However, no money has been taken (as of yet), received no emails, and online using the order numbers there are no such orders.",2021-02-19
5,Exceptional products at reasonable price . Provides awesome indoor shopping experience with nice cafeteria.,2022-03-06
1,Pages wont open,2020-10-04
1,"Pathetic company with pathetic app. You cannot even track your order, the customer care number is always busy, online chat is unavailabe. You are under suspense until your order arrives.Horrible experience. Better opt for amazon.",2021-07-12
5,"Loved it, easy to use",2020-05-12
4,Searching could be better. Put not available online at the top in red.,2022-04-18
5,everything's alright,2022-12-28
3,Needs more filtering options... otherwise good,2020-03-29
4,"Some things, like the online cart vs click & collect cart, are too similar in their icons and labels to tell apart easily, especially for infrequent IKEA shoppers. It's like, okay, I'm comfortable with general idea, but how does this WORK? So I love the features, but get frustrated that I can't figure them out myself.",2023-04-03
1,Very very slow and lost my entire cart!,2022-04-18
5,Buying new house. Enjoy planning and making a list of what I need,2023-06-04
5,Love it,2020-11-19
2,"While trying to look at furniture, it kept refreshing and going back to the beginning of my search. Very frustrating!",2022-01-04
3,No writing product review option,2023-05-29
5,The experience of using the app is excellent 👌 I am enjoying the huge collection of IKEA products.,2023-09-25
1,No way to write a review for a product,2023-01-03
1,New app is hopeless compared to the old one. Limited interfaces and searches using keywords are hit and miss.,2020-12-05
5,"If I had just one adjustment to make, I'd love to be able to move items from one list to another. Other then that, this is a great improvment from the other app! A lot easier to navigate and I love that I can access my card just by holding the app's icon!",2020-03-25
5,I'm just getting to know the new app leave me alone,2019-12-09
5,I love this shop and it's food is very good quality i like to spend a Sunday afternoon looking at,2020-04-26
5,I've been able to find what I want very easily and prices are reasonable!,2023-03-11
5,Easy to use,2020-07-16
4,Great app for building a pre visit shopping list! Tells me where I need to go and what I need! Search function is a bit temperamental and restricts items from view.,2020-09-13
3,Very low resolution images on tablet,2022-02-05
5,"Ikea is a staple for me, like family. Love the app, I like easy but this even thinks ahead for me. Love it",2022-03-28
5,Attractive prize and good quality products,2022-05-20
5,Perfect User Experience. Thank you for quality!,2021-12-26
1,Not able to buy anything.. keeps saying invalid cart,2022-04-30
1,Why does this only work with the chrome browser? That sucks donkey butt.,2023-02-04
5,"Great App to use, makes IKEA shopping and finding things super easy.",2022-10-22
5,Exelentecervi,2022-08-09
5,"Lepsi dizajn u odnosu na predhodnu aplikaciju, transparentno, super aplikacija. Jedino sto nedostaje je jos jedna robna kuca u Srbiji, juznije od Beograda.",2020-06-20
5,Great store,2021-05-16
5,Great app. Easy to navigate. Enjoy using it.,2022-11-23
5,Good,2020-07-02
5,Easy to use,2019-12-29
3,"Good app, only in German. I live in Austria and selected IKEA Austria. It offers only German. I know basic German, it's difficult to search required products. Why won't you offer also in English?",2021-04-04
5,Uneventful Check out,2021-05-06
5,Love this app and store. First time ever using this app and buying from ikea so im excited :),2022-11-18
5,"Although I wish they had more available in store, the app is easy to use.",2022-07-12
5,Scp 3008 came to my house at 3am pls send help *Friday theme intensifies*,2023-08-11
1,"Works great for what it is. Easy to use, and can use my Google Pay for payment. *Update* Having attempted an order, I haven't received a confirmation email from IKEA. The order tracker also does not show that my order even exists, even after making a payment. Not happy.",2021-03-04
3,Search by size and categories need improvement and back button needs to bring us back where we were in a list.,2022-03-05
1,I can no longer see my orders? What have you done!?,2021-06-14
5,It's getting better and better,2023-04-14
5,It works great!,2023-12-20
5,Very nice,2023-10-12
5,Having so much fun finding the shelf I want. Trying to get a jump on what I am going to buy when I go there next week.,2024-02-11
4,Easy to use app and great to be able to see availability and number of items in stock across the stores.,2020-01-20
1,Cannot change language from norsk to English without changing my region. I live in Norway but I don't know norsk language,2021-12-28
5,East to use!,2022-02-13
5,I'm a real Ikea freak👊💥💥 the prices are AWESOME and the quality is the best🥳🍾🥂 home sweet home,2023-11-07
4,Advised 4 legs for table. Actually need 5. As a first table to see walk in. Why so useless advise on paperwork. I missing the 5th leg. Brilliant. 😭 Also many items missing numbers. Why? Thankfully I am to found everything. Other people can be annoyed and angry.,2022-01-31
5,"Easy to use UI, Easy to place order.",2021-01-25
4,"Good experience, variety of household items.",2022-12-08
4,Would be good change language,2022-05-28
5,some items were sold out but they had more selections,2022-01-11
2,Tried to use the old app and it forced me to download this new app. I can't even log in.,2020-12-02
4,Love the overall experience of App.,2021-11-16
5,A Optimum placevFor everything,2022-07-22
5,Easy and fast.,2021-11-14
5,Great to use in store while shopping as well as order online.,2024-01-15
5,New update is amazing,2022-08-26
5,Good,2023-12-22
5,User friendly,2022-10-01
5,Easy to use,2020-11-25
4,I cant change the language if it doesn't match the country.,2024-02-07
5,"Hej, I like IKEA™, and I have done for a long time. But I only found out about this cool app today (3rd August 2022). It's easy to navigate, user-friendly, and has helpful tools to refine your search. The app has inspiration for all sorts of rooms, with clear pictures to demonstrate the wide range of uses each IKEA product has. Most importantly, it is the digital home of the one and only Djungelskog™. Easily a 10/10 app.",2022-08-03
5,Love it easy to use can find items quickly,2022-09-05
