rating,review,date
5,"Always have what I need, fresh good quality food and great prices.",2022-05-30
5,Excellent,2023-10-27
5,Great,2021-12-22
1,Very deceptive sales. Make sure to read all of the fine print of every coupon they offer. Its like having to read a terms and conditions policy for every coupon.,2023-12-22
4,Easy to use,2022-09-30
5,Good customer service,2023-01-09
5,Kauklahti lidl issa vibe 😊,2021-10-07
5,Very good,2022-10-19
2,"Never any coupons for what we buy, and scratch cards when you actually win for items we again don't use! How are we a winner??!",2022-02-25
5,Fantastic!,2022-05-05
1,"vague, confusing with fake promotions and coupon activation",2023-11-27
3,Find it a bit difficult dose not always scan in store,2022-04-07
5,Nice clean spacious supermarket plus nice helpful pleasant staff 😊,2021-11-01
1,Lidl Please stop forcing users to use this app. It's makes queue times longer when users opens their phone and try to figure how to use this. Old Lidl was better when you didn't need any app to have cheap price.,2024-01-04
4,Good,2022-04-04
4,Just started using the app but it's easy to use and shows me real benefits,2022-07-17
5,"Staff very friendly, apart from some empty shelfs but i guess thats down to the economic changes but always value for money",2022-04-05
4,"I always find it easy to check & activate weekly coupons, plus using the Lidl card on my phone is so easy",2022-03-16
1,Te moeilijk en omslachtig,2022-05-10
1,Can't open coupon. Contacted customer services 4 times and even tried via the instore connection but still it won't activate. Waste of time!!!,2022-08-17
5,"Easy to use, good deals",2022-10-15
5,Great savings and coupons achieved through the app,2022-05-05
5,"It's ok, but would be better if points rolled over into the following month instead of starting from scratch again.",2022-09-10
4,Good,2022-02-27
5,Lovely,2022-07-09
4,"App working well, coupons are useful",2021-12-29
5,Helpful staff,2022-10-16
5,"Very Good value, nice Store&Staff",2022-11-23
5,"Fresh good food, friendly staff but should have more checkouts opened to cut down on queues",2022-07-22
3,When I go to the till it says not registered but it is.,2022-08-19
5,Easy to use,2022-04-13
1,"Απαράδεκτοι, ""ο χρήστης δεν βρέθηκε""...μόνιμα. Δεν έχει λειτουργήσει η εφαρμογή σχεδόν ποτέ. Και στο κατάστημα... ποιούν την νύσσαν.",2023-05-02
5,Love this shop.,2022-12-15
5,Sehr gut,2022-07-28
4,Useful good savings.,2021-11-18
5,Great prices,2022-02-25
5,"Always plenty to choose,",2022-03-28
4,"Lidl is good, compared to other super market",2023-10-01
5,Very easy to use.,2022-04-07
2,"To complicated, so nit sure if uts wirth bothering with",2024-03-08
5,Love our Lidl and all the coupons,2022-07-27
5,Very good,2022-04-05
5,Good offers and on the spot vouchers,2021-10-29
3,Very annoying that you don't get long to spend the vouchers .,2023-01-19
5,This is a very good app I will highly recommend,2023-05-28
4,"Technically the app works well but it's far less useful than it was. It was fantastic with superb discounts across whole product ranges on offer. Nowadays those are far more restrictive, and rarely of interest as they focus on less essential products and I'm on a budget. Scratchcards are rarely useful as items are out of stock. My local Lidl is having real supply chain issues so I am reluctantly now shopping more at Aldi and Asda as stock is more reliable.",2022-11-19
5,Good product at good value . Plenty of varieties and stock,2022-11-10
5,Easy to use & updated regularly,2022-06-21
4,"I find the cash register takes a few attempts to scan plus would be better if there were personalized discounts, I barely ever use the discounts I get offered.",2021-10-28
1,Czasami nawet aktywowane kupony nie wskakują,2024-03-25
5,Easy to use and comprehensive app. Only one recommendation that we could know our total expenditure during the month.,2022-02-25
4,Always forget to use my phone when i shop xx,2022-07-29
5,Good,2023-02-26
4,Good for the aged!,2022-10-30
4,"It's great. Easy to use, and does everything an app like this should, plus the virtual ""everyone's a winner"" scratch cards are a nice touch. My only nitpick is when looking through the leaflets, zooming towards the corners and edges can be a bit difficult. Rather than the usual pinching your fingers, you have to tap the screen, but the further from the centre of the leaflet you tap becomes less accurate.",2022-02-25
3,"Last week was told card not registered.card lost since.means apart from asking you for replacement i would then have to reapply.I havent the encouragement to do so, although we are possibly going to continue shopping with you Thanks Jeremy reice",2022-05-21
1,Does not often work & yet to save a penny,2022-08-04
1,It's rubbish,2022-04-23
5,Good store easy to shop n local Love it,2022-06-11
1,Blocked me for 30mins due to 3x password miss input..,2024-03-06
5,Love Lidl shopping,2022-02-24
5,Splendid...tremendous x,2021-12-01
4,"Works as it should, as far as I know.",2022-11-02
5,"So simple to use, apart from the scan position at most tills .",2023-01-09
5,Very good,2022-08-25
1,Not relevant to me,2021-12-12
5,"One of the best stores, as vegetables and fruits are so fresh 😋 and the Greek creamy yogurts.",2022-04-13
5,No problem at all.😊,2023-11-29
4,Just started but leaflets would not work at Houghton Regis store as low signal. So transferred to dunstable store.,2022-01-06
4,Good,2022-08-18
5,It's a good app and the savings are better than other loyalty schemes. The scratch card seems a bit of a gimmick but otherwise it's a good app and recommended. Also shows how busy the shop is and opening hours 👍,2021-12-31
3,"It doesn't register often! If you do not have your smart phone with you,I am told sadly there is no come back, sooner or later. Transparency provides confidence to the customers. In this APP, when the code is scanned at the till, nobody sees what is happening inside! Hence, very uninspiring to the customer.",2024-03-29
5,So easy to use. Helps save money on favourite purchases.,2022-01-23
5,Looking after every one which is very good,2022-08-25
5,Brilliant,2022-03-29
5,Quite rewarding...,2021-11-26
5,Introduced to new store in Ashford Middx when visiting relatives. EXCELLENT,2023-04-13
4,Gives discounts on shopping - what's not to like?,2022-11-23
5,Awesome,2022-04-04
5,Great customer service,2023-08-28
5,Always good on prices,2021-12-01
1,in t m,2023-07-22
4,Good that the checkout operator knew how the app worked,2022-07-12
